сих сей
пор пора
могу мочь
понять понять
это это
сделал сделать
лет год
назад назад
алексей алексей
леонов леонов
первым первый
вышел выйти
открытый открытый
космос космос
техника техника
наука наука
главное главное
россия россия
мир мир
бывший бывший
ссср ссср
экономика экономика
силовые силовой
структуры структура
культура культура
спорт спорт
интернет интернет
сми сми
ценности ценность
путешествия путешествие
жизни жизнь
среда среда
обитания обитание
забота забота
победа победа
войти войти
эксклюзивы эксклюзив
статьи статья
галереи галерея
видео видео
спецпроекты спецпроект
мини минь
игры игра
мотор мотор
архив архив
лента лента
добра добро
хочешь хотеть
видеть видеть
хорошие хороший
новости новость
жми жать
вернуться вернуться
обычную обычный
ленту лента
всенаукав всенаукать
россиикосмосоружиеисторияздоровьебудущеетехникагаджетыигрысофт россиикосмосоружиеисторияздоровьебудущеетехникагаджетыигрысофт
марта март
ру ру
сергей сергей
варшавчик варшавчик
редактор редактор
отдела отдел
время время
выхода выход
года год
фото фото
риа риа
полета полёт
советского советский
корабля корабль
восход восход
впервые впервые
истории история
человек человек
который который
находился находиться
межзвездном межзвёздный
пространстве пространство
минут минута
секунд секунда
ходе ход
восхода восход
экипаж экипаж
составе состав
командира командир
павла павел
беляева беляев
второго второй
пилота пилот
алексея алексей
леонова леонов
несколько несколько
оказывался оказываться
волосок волосок
гибели гибель
космонавтам космонавт
помогли помочь
спастись спастись
личное личный
мужество мужество
смекалка смекалка
всесторонняя всесторонний
подготовка подготовка
вспоминает вспоминать
ход ход
событий событие
космическое космический
пространство пространство
половине половина
девятого девятый
утра утро
подполковник подполковник
ввс ввс
павел павел
беляев беляев
майор майор
надели надеть
скафандры скафандр
автобусе автобус
отправились отправиться
космодром космодром
байконур байконур
прощальных прощальный
объятий объятие
рукопожатий рукопожатие
стал стать
подниматься подниматься
корабль корабль
вел вести
спокойно спокойно
заметно заметно
волновался волноваться
советский советский
пилотируемый пилотировать
космический космический
старта старт
традиции традиция
сложившейся сложиться
гагаринского гагаринский
космонавтов космонавт
закрытия закрытие
люка люк
провожали провожать
люди человек
готовившие готовить
полет полёт
отвечающие отвечать
главный главный
конструктор конструктор
окб окб
ныне ныне
ракетно ракетный
космическая космический
корпорация корпорация
энергия энергия
королев королева
заместитель заместитель
евгений евгений
шабаров шабаров
организатор организатор
куратор куратор
центра центр
подготовки подготовка
цпк цпк
генерал генерал
лейтенант лейтенант
авиации авиация
николай николай
каманин каманин
начальник начальник
стартовой стартовый
команды команда
байконура байконур
полковник полковник
анатолий анатолий
кириллов кирилл
затем затем
дал дать
команду команда
старт старт
московскому московский
времени время
ракета ракета
пошла пойти
вверх вверх
волнение волнение
провожавших провожать
достигло достигнуть
высшей высокий
точки точка
февраля февраль
го го
взорвался взорваться
аналогичный аналогичный
восходу восход
беспилотный беспилотный
понимали понимать
случае случай
аварии авария
й й
секунды секунда
спасение спасение
экипажа экипаж
практически практически
невозможно невозможно
вспоминал вспоминать
выведения выведение
орбиту орбита
полны полный
тревог тревога
недаром недаром
некурящий некурящий
отсчета отсчёт
дрожащими дрожать
руками рука
взял взять
папиросу папироса
закурил закурить
перешли переслать
командный командный
пункт пункт
напряженно напряжённо
ожидая ожидать
вестей весть
орбиты орбита
втором второй
витке виток
пульта пульт
управления управление
открыл открыть
люк люк
шлюзовую шлюзовый
камеру камера
подождав подождать
туда туда
войдет войти
закрыл закрыть
начав начать
разгерметизацию разгерметизация
шлюза шлюз
скомандовал скомандовать
товарищу товарищ
леша лёша
начинай начинать
выход выход
понял понять
пошел пойти
голове голова
мелькнуло мелькнуть
назвался назваться
космонавтом космонавт
вылезай вылезать
шагнул шагнуть
обреза обрез
безвоздушное безвоздушный
разматывая разматывать
крепкий крепкий
пятиметровый пятиметровый
фал фал
соединяющий соединять
кораблем корабль
произошло произойти
производства производство
космической космический
техники техника
ракетного ракетный
оружия оружие
основоположник основоположник
практической практический
космонавтики космонавтика
момент момент
командир командир
передал передать
сообщение сообщение
эфир эфир
находится находиться
свободном свободный
плавании плавание
договаривались договариваться
земле земля
доложил доложить
нахожусь находиться
вблизи вблизи
медленно медленно
вращался вращаться
купаясь купаться
солнечном солнечный
потоке поток
видел видеть
сияющим сиять
просматривались просматриваться
мелкие мелкий
детали деталь
надписи надпись
двигательной двигательный
установке установка
слышу слышать
наушниках наушник
голоса голос
наблюдающих наблюдать
мной я
помощи помощь
телекамер телекамера
земли земля
смотри смотреть
ка ка
живой живой
внизу внизу
собой себя
вижу видеть
черноморское черноморский
побережье побережье
кавказа кавказ
менее менее
радостно радостно
докладываю докладывать
сочи сочи
хорошая хороший
погода погода
знаем знать
выполняй выполнять
задание задание
коротко коротко
ответили ответить
волновались волноваться
хотели хотеть
отвлекаться отвлекаться
материалы материал
теме тема
первой первый
женщины женщина
космонавта космонавт
какие какой
трудности трудность
перенесла перенести
терешкова терешков
июня июнь
просто просто
оказался оказаться
фокусе фокус
жизнь жизнь
первого первый
юрия юрий
гагарина гагарин
апреля апрель
царило царить
ликование ликование
писал писать
наблюдали наблюдать
выходом выход
телевидению телевидение
плавно плавно
парил парить
космосе космос
помахал помахать
нам мы
сперва сперва
левой левый
правой правый
рукой рука
специально специально
переворачивался переворачиваться
отходил отходить
подходил подходить
кораблю корабль
видели видеть
фоне фон
трех три
пяти пять
метрах метр
пора пора
возвращаться возвращаться
почувствовал почувствовать
сделать сделать
гигантской гигантский
разницы разница
давления давление
снаружи снаружи
внутри внутри
скафандр скафандр
увеличился увеличиться
размерах размер
ухватиться ухватиться
поручни поручень
тому тот
руке рука
кинокамера кинокамера
вспомнился вспомниться
предполетный предполётный
инструктаж инструктаж
котором который
сказал сказать
прошу просить
предельно предельно
внимательным внимательный
обо о
всем весь
делаешь делать
докладывай докладывать
минер минёр
должны должный
знать знать
оборвется оборваться
песня песня
чувствовал чувствовать
подопытным подопытный
кроликом кролик
скорее скорее
именно именно
минером минёр
известно известно
ошибается ошибаться
доложить доложить
землю земля
чп чп
знал знать
инструкции инструкция
будут быть
срочно срочно
создавать создавать
государственную государственный
комиссию комиссия
поиску поиск
решения решение
привлекать привлекать
нужных нужный
специалистов специалист
запаса запас
кислорода кислород
скафандре скафандр
оставалось оставаться
лишь лишь
запасной запасный
вариант вариант
просить просить
таком такой
должен должный
разгерметизировать разгерметизировать
выйти выйти
попытаться попытаться
втащить втащить
товарища товарищ
поскольку поскольку
радиосвязь радиосвязь
велась вестись
открытым открытый
текстом текст
обоих оба
случаях случай
весь весь
узнал узнать
небывалого небывалый
триумфа триумф
советские советский
космонавты космонавт
попали попасть
тяжелейшее тяжёлый
безвыходное безвыходный
положение положение
искать искать
спасительное спасительный
решение решение
самому сам
подготовлен подготовить
году год
лидировал лидировать
гонке гонка
сша сша
поставив поставить
ряд ряд
международных международный
рекордов рекорд
космические космический
рекорды рекорд
отправлен отправить
первый первый
юрий юрий
гагарин гагарин
также также
совершен совершить
суточный суточный
герман герман
титов титов
произведен произвести
групповой групповой
двух два
кораблей корабль
андриян андриян
николаев николаев
попович попович
побывала побывать
первая первый
женщина женщина
валентина валентина
терешшкова терешшков
осуществлен осуществить
многоместного многоместный
космического космический
владимир владимир
комаров комар
константин константин
феоктистов феоктистов
борис борис
егоров егоров
удержать удержать
лидерство лидерство
рабочим рабочий
названием название
будущий будущий
января январь
написал написать
своем свой
личном личный
дневнике дневник
сложная сложный
ответственная ответственный
опасная опасный
операция операция
почему почему
настойчиво настойчиво
добивался добиваться
ноябре ноябрь
хотел хотеть
феврале февраль
марте март
уверенно уверенно
сказать сказать
успешно успешно
проведем провести
человека человек
крупнейшей крупный
нашей наш
победой победа
первых первый
героев герой
союза союз
советских советский
александр александр
моклецов моклец
размышляя размышлять
кому кто
доверить доверить
опасную опасный
историческую исторический
миссию миссия
пришел прийти
выводу вывод
запасным запасный
выходящим выходить
хрунов хруновый
оба оба
отличные отличный
сильные сильный
кроме кроме
художник художник
безусловно безусловно
других другой
почувствует почувствовать
своеобразие своеобразие
красоту красота
эксперимента эксперимент
сумеет суметь
конкретно конкретно
передать передать
свои свой
наблюдения наблюдение
переживания переживание
возвращения возвращение
совещании совещание
решено решить
пуск пуск
технологического технологический
следует следовать
осуществить осуществить
записал записать
сегодня сегодня
выполняют выполнять
упражнения упражнение
центрифуге центрифуга
леонову леонов
врачей врач
пока пока
никаких никакой
замечаний замечание
беляеву беляев
здоровье здоровье
ослаблено ослабить
полной полный
уверенности уверенность
сдаст сдать
одном один
этапов этап
подстраховался подстраховаться
приказал приказать
готовить готовить
евгения евгений
хрунова хруновый
дублера дублёр
которого который
официально официально
числился числиться
дмитрий дмитрий
заикин заикина
возникла возникнуть
новая новый
проблема проблема
холодков холодок
разговоре разговор
главкомом главком
главным главный
маршалом маршал
константином константин
вершининым вершинин
предложил предложить
назначить назначить
командиром командир
фронтовика фронтовик
героя герой
полковника полковник
георгия георгий
берегового береговой
годы год
великой великий
отечественной отечественный
войны война
летчик лётчик
штурмовик штурмовик
береговой береговой
воевал воевать
командованием командование
каманина каманин
считал считать
неплохим неплохой
кандидатом кандидат
роль роль
герой герой
георгий георгий
предполетной предполётный
валентин валентин
черединцев черединец
тасс тасс
летний летний
старше старший
летнего летний
восходе восход
отбирались отбираться
кандидаты кандидат
невысоким невысокий
ростом рост
небольшим небольшой
весом вес
рост рост
составлял составлять
сантиметра сантиметр
вес вес
килограмма килограмм
сантиметров сантиметр
имел иметь
привел привести
аргумента аргумент
едва едва
разумно разумно
назначать назначать
экипажи экипаж
полугода полгода
тренировок тренировка
заканчивают заканчивать
подготовку подготовка
полету полёт
начали начать
шить шить
требуется требоваться
полтора полтора
месяца месяц
главком главком
согласился согласиться
доводами довод
полетел полететь
м м
принято принять
создании создание
отряда отряд
главе глава
береговым береговой
очень очень
трудный трудный
тбк тбк
термобарокамере термобарокамера
проведено провести
первое первый
испытание испытание
шлюзовой шлюзовый
камеры камера
людей человек
которое который
показало показать
вся весь
автоматика автоматика
работает работать
нормально нормально
герметичность герметичность
люков люковый
шлюзов шлюз
вполне вполне
удовлетворительна удовлетворительный
проблемы проблема
шлюзом шлюз
тестировании тестирование
барокамере барокамера
двумя два
испытателями испытатель
скафандрах скафандр
получилось получиться
иначе иначе
констатировал констатировать
эксперимент эксперимент
закончился закончиться
неудачно неудачно
испытатель испытатель
вошел войти
шлюз шлюз
закрыть закрыть
смог смочь
конструктивных конструктивный
недостатков недостаток
обнаружилась обнаружиться
ненадежность ненадёжность
работы работа
веги вега
аппаратура аппаратура
регистрации регистрация
состояния состояние
недостатки недостаток
устранили устранить
двухчасовые двухчасовой
тренировки тренировка
участием участие
испытателей испытатель
прошли пройти
остался остаться
доволен довольный
результатами результат
тренировкам тренировка
приступили приступить
космических космический
отметил отметить
полеты полёт
ту тот
условиях условие
невесомости невесомость
испытаний испытание
показали показать
огромную огромный
сложность сложность
опасность опасность
предстоящего предстоящий
широко широко
распахнет распахнуть
двери дверь
большинство большинство
проводимых проводить
воздухе воздух
значительно значительно
тяжелее тяжёлый
тех тот
нагрузок нагрузка
которые который
придется прийтись
испытать испытать
обучаем обучать
суворовскому суворовский
принципу принцип
тяжело тяжело
ученье учение
легко легко
бою бой
заседании заседание
госкомиссии госкомиссия
надежность надёжность
поиска поиск
приземления приземление
меньше маленький
зенитов зенит
востоков восток
недостаточной недостаточный
отработки отработка
радиосистем радиосистема
серии серия
встреча встреча
слева слева
направо направо
аэропорту аэропорт
перми пермь
защищал защищать
свое свой
детище детище
наверное наверное
расти расти
считать считать
корабле корабль
пять пять
станций станция
стало стать
система система
стала стать
надежной надёжный
одна один
станция станция
надежнее надёжный
хмуро хмуро
забыл забыть
установлены установить
те тот
самые самый
станции станция
востоке восток
работают работать
худших плохой
госкомиссия госкомиссия
предложила предложить
следующий следующий
состав состав
экипажей экипаж
дублер дублёр
второй второй
пилот пилот
председателя председатель
совета совет
министров министр
оборонным оборонный
отраслям отрасль
промышленности промышленность
леонид леонид
смирнов смирнов
утвердил утвердить
кандидатуры кандидатура
посетил посетить
завод завод
научно научно
производственное производственный
предприятие предприятие
звезда звезда
имени имя
г г
северина северин
посмотрел посмотреть
окончательную окончательный
сборку сборка
шлюзового шлюзовый
отсека отсек
увидел увидеть
понравилось понравиться
впечатление впечатление
технологии технология
сборки сборка
неважное неважный
толпой толпа
необходимого необходимый
строгого строгий
контроля контроль
каждой каждый
операцией операция
отметкой отметка
